Code,Name,Market,Type
00400A,主動國泰動能高息,TWSE,ETF
00401A,主動摩根台灣鑫收,TWSE,ETF
00402A,主動安聯美國科技,TWSE,ETF
00403A,主動統一升級50,TWSE,ETF
00404A,主動聯博動能50,TWSE,ETF
00405A,主動富邦台灣龍耀,TWSE,ETF
00406A,主動中信台灣收益,TWSE,ETF
00407A,主動凱基台灣,TWSE,ETF
00408A,主動第一金優股息,TWSE,ETF
0050,元大台灣50,TWSE,Stock
0051,元大中型100,TWSE,Stock
0052,富邦科技,TWSE,Stock
0053,元大電子,TWSE,Stock
0055,元大MSCI金融,TWSE,Stock
0056,元大高股息,TWSE,Stock
0057,富邦摩台,TWSE,Stock
0061,元大寶滬深,TWSE,Stock
006203,元大MSCI台灣,TWSE,ETF
006204,永豐臺灣加權,TWSE,ETF
006205,富邦上証,TWSE,ETF
006206,元大上證50,TWSE,ETF
006207,復華滬深,TWSE,ETF
006208,富邦台50,TWSE,ETF
00625K,富邦上証+R,TWSE,ETF
00631L,元大台灣50正2,TWSE,ETF
00632R,元大台灣50反1,TWSE,ETF
00633L,富邦上証正2,TWSE,ETF
00634R,富邦上証反1,TWSE,ETF
00635U,期元大S&P黃金,TWSE,ETF
00636,國泰中國A50,TWSE,ETF
00636K,國泰中國A50+U,TWSE,ETF
00637L,元大滬深300正2,TWSE,ETF
00638R,元大滬深300反1,TWSE,ETF
00639,富邦深100,TWSE,ETF
00640L,富邦日本正2,TWSE,ETF
00641R,富邦日本反1,TWSE,ETF
00642U,期元大S&P石油,TWSE,ETF
00643,群益深証中小,TWSE,ETF
00643K,群益深証中小+R,TWSE,ETF
00645,富邦日本,TWSE,ETF
00646,元大S&P500,TWSE,ETF
00647L,元大S&P500正2,TWSE,ETF
00648R,元大S&P500反1,TWSE,ETF
00650L,復華香港正2,TWSE,ETF
00651R,復華香港反1,TWSE,ETF
00652,富邦印度,TWSE,ETF
00653L,富邦印度正2,TWSE,ETF
00654R,富邦印度反1,TWSE,ETF
00655L,國泰中國A50正2,TWSE,ETF
00656R,國泰中國A50反1,TWSE,ETF
00657,國泰日經225,TWSE,ETF
00657K,國泰日經225+U,TWSE,ETF
00660,元大歐洲50,TWSE,ETF
00661,元大日經225,TWSE,ETF
00662,富邦NASDAQ,TWSE,ETF
00663L,國泰臺灣加權正2,TWSE,ETF
00664R,國泰臺灣加權反1,TWSE,ETF
00665L,富邦恒生國企正2,TWSE,ETF
00666R,富邦恒生國企反1,TWSE,ETF
00668,國泰美國道瓊,TWSE,ETF
00668K,國泰美國道瓊+U,TWSE,ETF
00669R,國泰美國道瓊反1,TWSE,ETF
00670L,富邦NASDAQ正2,TWSE,ETF
00671R,富邦NASDAQ反1,TWSE,ETF
00673R,期元大S&P原油反1,TWSE,ETF
00674R,期元大S&P黃金反1,TWSE,ETF
00675L,富邦臺灣加權正2,TWSE,ETF
00676R,富邦臺灣加權反1,TWSE,ETF
00678,群益那斯達克生技,TWSE,ETF
00680L,元大美債20正2,TWSE,ETF
00681R,元大美債20反1,TWSE,ETF
00682U,期元大美元指數,TWSE,ETF
00683L,期元大美元指正2,TWSE,ETF
00684R,期元大美元指反1,TWSE,ETF
00685L,群益臺灣加權正2,TWSE,ETF
00686R,群益臺灣加權反1,TWSE,ETF
00688L,國泰20年美債正2,TWSE,ETF
00689R,國泰20年美債反1,TWSE,ETF
00690,兆豐藍籌30,TWSE,ETF
00692,富邦公司治理,TWSE,ETF
00693U,期街口S&P黃豆,TWSE,ETF
00700,富邦恒生國企,TWSE,ETF
00701,國泰股利精選30,TWSE,ETF
00702,國泰標普低波高息,TWSE,ETF
00703,台新MSCI中國,TWSE,ETF
00706L,期元大S&P日圓正2,TWSE,ETF
00707R,期元大S&P日圓反1,TWSE,ETF
00708L,期元大S&P黃金正2,TWSE,ETF
00709,富邦歐洲,TWSE,ETF
00710B,復華彭博非投等債,TWSE,ETF
00711B,復華彭博新興債,TWSE,ETF
00712,復華富時不動產,TWSE,ETF
00713,元大台灣高息低波,TWSE,ETF
00714,群益道瓊美國地產,TWSE,ETF
00715L,期街口布蘭特正2,TWSE,ETF
00717,富邦美國特別股,TWSE,ETF
00728,第一金工業30,TWSE,ETF
00730,富邦臺灣優質高息,TWSE,ETF
00731,復華富時高息低波,TWSE,ETF
00733,富邦臺灣中小,TWSE,ETF
